"ITEM NAME","CAT","TYPE","MAJOR RCP","MINOR RCP","GAME-SPECIFIC TAGS","MOD-SPECIFIC TAGS","MOD-SPECIFIC TAGS","COLOR TAG"
"{{ModId}}_6Below",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","poisonous_item","raffadax_mythic_item","raffadax_beverage",
"{{ModId}}_Absinthe",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_AbyssalBrandy",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_divine_item","raffadax_brandy",
"{{ModId}}_AbyssalChampagne",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_divine_item","raffadax_sparkling_wine",
"{{ModId}}_AbyssalFabric",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","cloth_item","raffadax_divine_item","raffadax_cloth_item",
"{{ModId}}_AbyssalKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_mythic_item","raffadax_kombucha",
"{{ModId}}_AbyssalSand",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","ground_item","raffadax_divine_item","raffadax_production_component",
"{{ModId}}_AbyssalWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_divine_item","raffadax_wine",
"{{ModId}}_AcaiBerry",-79,"Fruit","raffadax_object","raffadax_fruittrees_object",,,,"color_poppyseed"
"{{ModId}}_AcaiBrandy",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_brandy",,
"{{ModId}}_AcaiCompote",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AcaiJam",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AcaiJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AcaiJuice",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","juice_item","raffadax_juice_item",,
"{{ModId}}_AcaiLiqueur",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_AcaiPortWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_port_wine",,
"{{ModId}}_AcaiPuree",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","puree_item","raffadax_puree",,
"{{ModId}}_AcaiWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_wine",,
"{{ModId}}_AcornButter",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","butter_item","raffadax_puree",,
"{{ModId}}_AcornExtract",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","extract_item","raffadax_juice_item",,
"{{ModId}}_AcornFlour",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","flour_item","raffadax_baking_component",,
"{{ModId}}_AcornKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_kombucha",,
"{{ModId}}_AcornLiqueur",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_AcornMilk",-6,"Animal Product","raffadax_object","raffadax_artisan_object","milk_item, plant_milk_item","raffadax_milk_item",,"color_white"
"{{ModId}}_AcornOil",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","oil_item","raffadax_oil_item",,
"{{ModId}}_AcornTea",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","tea_item","raffadax_tea",,
"{{ModId}}_AdoboSeasoning",-7,"Cooking","raffadax_object","raffadax_artisan_object, 
raffadax_cooked_object","seasoning_mix","raffadax_cooking",,
"{{ModId}}_Advieh",-7,"Cooking","raffadax_object","raffadax_artisan_object, 
raffadax_cooked_object","seasoning_mix","raffadax_cooking",,
"{{ModId}}_AdzukiAquafaba",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","juice_item","raffadax_juice_item",,
"{{ModId}}_AdzukiBeans",-75,"Vegetable","raffadax_object","raffadax_crops_object","bean_item",,,"color_white"
"{{ModId}}_Aether",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","perfume_item","raffadax_divine_item","raffadax_fragrance",
"{{ModId}}_AgarPowder",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","ground_item","raffadax_baking_component",,
"{{ModId}}_Agave",-75,"Vegetable","raffadax_object","raffadax_fruittrees_object",,,,"color_dark_cyan"
"{{ModId}}_AgaveExtract",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","extract_item","raffadax_juice_item",,
"{{ModId}}_AgaveJuice",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","juice_item","raffadax_juice_item",,
"{{ModId}}_AgaveKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_kombucha",,
"{{ModId}}_AgaveNectar",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","syrup_item","raffadax_syrup",,
"{{ModId}}_AgavePowder",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","ground_item","raffadax_milled_item",,
"{{ModId}}_AgaveTea",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","tea_item","raffadax_tea",,
