Item,Cat,Type,Tags
{{ModId}}_AdzukiBeans,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Allium,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Aloe,-75,Vegetable,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Amanita,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_Anemushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_Artemisia,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Asparagus,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_BabyCorn,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Basil,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_BerserkerMushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_BlackBeans,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_BlackBellPepper,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_BlackCarrot,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_BlackShamrock,-81,Greens,"raffadax_object, raffadax_crops_object, forage_item, category_herb"
{{ModId}}_BlackStoneFlower,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_lichen"
{{ModId}}_BlackTruffle,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_BlueCorn,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_BlueLotusFlower,-80,Flower,"raffadax_object, raffadax_crops_object"
{{ModId}}_BlueOysterMushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_BluePotato,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Boxberry,-79,Fruit,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_BrassicaFlower,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_BrusselsSprouts,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_ButtonMushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_CactusBlossom,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Cactushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_TheDevilsLettuce,-81,Greens,"raffadax_object, raffadax_crops_object, category_medicinalherb"
{{ModId}}_MaryJane,-81,Greens,"raffadax_object, raffadax_crops_object, category_medicinalherb"
{{ModId}}_IndicaBud,-80,Flower,"raffadax_object, raffadax_crops_object, category_medicinalherb"
{{ModId}}_SativaBud,-80,Flower,"raffadax_object, raffadax_crops_object, category_medicinalherb"
{{ModId}}_Cantaloupe,-79,Fruit,"raffadax_object, raffadax_crops_object"
{{ModId}}_CaperBerries,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_CaperLeaves,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Capers,-75,Vegetable,"raffadax_object, raffadax_crops_object"
