Item,NPCs
Anemushroom,"Amanra, Astrid, Hekate, Hephaestus, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Wizard, Xolotl"
Berserker Mushroom,"Amanra, Astrid, MarlonFay, Hekate, Hephaestus, Wednesday, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Cactushroom,"Amanra, Astrid, Hekate, Hephaestus, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Wizard, Xolotl"
The Devil's Lettuce,"Amanra, Astrid, Claire, Hekate, Hephaestus, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, George, Abigail, Alex, Caroline, Elliott, Emily, Harvey, Kent, Lewis, Linus, Maru, Pam, Robin, Sam, Sandy, Sebastian, Shane, Willy, Wizard, Xolotl"
Mary Jane,"Amanra, Astrid, Claire, Hekate, Hephaestus, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, George, Abigail, Alex, Caroline, Elliott, Emily, Harvey, Kent, Lewis, Linus, Maru, Pam, Robin, Sam, Sandy, Sebastian, Shane, Willy, Wizard, Xolotl"
Indica Bud,"Amanra, Astrid, Claire, Hekate, Hephaestus, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, George, Abigail, Alex, Caroline, Elliott, Emily, Harvey, Kent, Lewis, Linus, Maru, Pam, Robin, Sam, Sandy, Sebastian, Shane, Willy, Wizard, Xolotl"
Sativa Bud,"Amanra, Astrid, Claire, Hekate, Hephaestus, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, George, Abigail, Alex, Caroline, Elliott, Emily, Harvey, Kent, Lewis, Linus, Maru, Pam, Robin, Sam, Sandy, Sebastian, Shane, Willy, Wizard, Xolotl"
Fern Flower,"Amanra, Astrid, Beatrice, MarlonFay, Olivia, Susan, Andy, Apples, Claire, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, Martin, MorrisTod, Sheila, Sophia, Victor, Wednesday, Alecto, Eloise, Morgan, Coyote, Mephisto, Puck, Shuck, Demetrius, Dwarf, Evelyn, George, Gus, Abigail, Alex, Caroline, Clint, Elliott, Emily, Haley, Harvey, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sandy, Sebastian, Shane, Willy, Wizard, Jas, Vincent, Xolotl"
Frost Cap,"Amanra, Astrid, Hekate, Hephaestus, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Wizard, Xolotl"
Gem Cap,"Amanra, Astrid, Gregory, GuntherSilvian, Hekate, Hephaestus, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Demetrius, Dwarf, Clint, Wizard, Xolotl"
Glass Pumpkin,"Amanra, Beatrice, MarlonFay, Olivia, Susan, Andy, Claire, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, Martin, MorrisTod, Sheila, Sophia, Victor, Wednesday, Alecto, Eloise, Puck, Shuck, Demetrius, Dwarf, Evelyn, George, Gus, Abigail, Alex, Caroline, Clint, Elliott, Emily, Haley, Harvey, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sandy, Sebastian, Shane, Willy, Wizard, Jas, Vincent, Xolotl"
Golden Chest,"Amanra, Beatrice, MarlonFay, Olivia, Susan, Andy, Claire, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, Martin, MorrisTod, Sheila, Sophia, Victor, Wednesday, Alecto, Eloise, Puck, Shuck, Demetrius, Dwarf, Evelyn, George, Gus, Abigail, Alex, Caroline, Clint, Elliott, Emily, Haley, Harvey, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sandy, Sebastian, Shane, Willy, Wizard, Jas, Vincent, Xolotl"
Golden Leaf,"Amanra, Beatrice, MarlonFay, Olivia, Susan, Andy, Claire, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, Martin, MorrisTod, Sheila, Sophia, Victor, Wednesday, Alecto, Eloise, Puck, Shuck, Demetrius, Dwarf, Evelyn, George, Gus, Abigail, Alex, Caroline, Clint, Elliott, Emily, Haley, Harvey, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sandy, Sebastian, Shane, Willy, Wizard, Jas, Vincent, Xolotl"
Lucky Clover,"Amanra, Astrid, Beatrice, MarlonFay, Olivia, Susan, Andy, Apples, Claire, Gregory, GuntherSilvian, Hekate, Jacob, Martin, MorrisTod, Sheila, Sophia, Victor, Alecto, Eloise, Morgan, Coyote, Mephisto, Puck, Shuck, Demetrius, Dwarf, Evelyn, George, Gus, Abigail, Alex, Caroline, Clint, Elliott, Emily, Haley, Harvey, Jodi, Kent, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sandy, Shane, Willy, Wizard, Jas, Vincent, Xolotl"
Luminushroom,"Amanra, Astrid, Hekate, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Wizard, Xolotl"
Mandragora Flower,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Mandrake,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Mosshroom,"Amanra, Astrid, Hekate, Hephaestus, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Wizard, Xolotl"
Peyote,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, Alex, Emily, Harvey, Krobus, Maru, Sebastian, Wizard, Xolotl"
Psilocybin Mushroom,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, Clint, Emily, Krobus, Marnie, Sebastian, Wizard, Xolotl"
Radioactive Mushroom,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Silver Leaf,"Amanra, Beatrice, MarlonFay, Olivia, Susan, Andy, Claire, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, Martin, MorrisTod, Sheila, Sophia, Victor, Wednesday, Alecto, Eloise, Puck, Shuck, Demetrius, Dwarf, Evelyn, George, Gus, Abigail, Alex, Caroline, Clint, Elliott, Emily, Haley, Harvey, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sandy, Sebastian, Shane, Willy, Wizard, Jas, Vincent, Xolotl"
Thunder Cap,"Amanra, Astrid, Hekate, Hephaestus, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Wizard, Xolotl"
Unlucky Clover,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Void Mushroom,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Apple of Discord,"Amanra, Astrid, Claire, Andy, Apples, Beatrice, Eloise, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, MarlonFay, Martin, Morgan, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jas, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sebastian, Shane, Vincent, Willy, Wizard, Xolotl"
