Output,Machine,Time,Makes,Chance,Input,Fuels
Crushed Almonds,Auto Mill,1600,1,1,1 Almond,
Black Cacao Nibs,Auto Mill,1600,1,1,1 Black Cacao Pod,
Dark Cocoa Powder,Auto Mill,1600,1,1,1 Dark Cocoa Beans,
Crushed Black Walnuts,Auto Mill,1600,1,1,1 Black Walnut,
Crushed Brazil Nuts,Auto Mill,1600,1,1,1 Brazil Nut,
Cacao Nibs,Auto Mill,1600,1,1,1 Cacao Pod,
Crushed Cashews,Auto Mill,1600,1,1,1 Cashew,
Crushed Chestnuts,Auto Mill,1600,1,1,1 Chestnut,
Cocoa Powder,Auto Mill,1600,1,1,1 Cocoa Beans,
Coco de Mer Flakes,Auto Mill,1600,1,1,1 Coco de Mer,
Honey Powder,Auto Mill,1600,1,1,1 Crystalized Honey,
Crushed Horn Nuts,Auto Mill,1600,1,1,1 Leached Horn Nuts,
Cola Powder,Auto Mill,1600,1,1,1 Kola Nut,
Crushed Macadamia Nuts,Auto Mill,1600,1,1,1 Macadamia Nut,
Crushed Marcona Almonds,Auto Mill,1600,1,1,1 Marcona Almond,
Baking Soda,Auto Mill,1600,1,1,1 Nahcolite,
Crushed Peanuts,Auto Mill,1600,1,1,1 Peanut,
Crushed Pecans,Auto Mill,1600,1,1,1 Pecan,
Crushed Pine Nuts,Auto Mill,1600,1,1,1 Pine Nut,
Crushed Pistachios,Auto Mill,1600,1,1,1 Pistachio ,
Crushed Sea Hearts,Auto Mill,1600,1,1,1 Leached Sea Hearts,
Cane Sugar,Auto Mill,1600,1,1,1 Sugarcane,
Crushed Walnuts,Auto Mill,1600,1,1,1 Walnut,
White Cacao Nibs,Auto Mill,1600,1,1,1 White Cacao Pod,
White Cocoa Powder,Auto Mill,1600,1,1,1 White Cocoa Beans,
Crushed Acorns,Auto Mill,1600,1,1,1 Leached Acorns,
Coconut Flakes,Auto Mill,1600,1,1,1 Coconut,
Crushed Hazelnuts,Auto Mill,1600,1,1,1 Hazelnut,
Hulled Mahogany Seeds,Auto Mill,1600,1,1,1 Mahogany Seed,
Shelled Samaras,Auto Mill,1600,1,1,5 Maple Seed,
Powdered Sugar,Auto Mill,3400,1,1,1 Sugar,
Shelled Sunflower Seeds,Auto Mill,1600,1,1,3 Sunflower Seeds,
Instant Coffee: Café Caramel,Auto Mill,1600,1,1,1 Café Caramel Beans,
Instant Coffee: Chicory,Auto Mill,800,1,1,1 Chicory Coffee Beans,
Instant Coffee: Cold Brew,Auto Mill,800,1,1,1 Cold Brew Coffee Beans,
Instant Coffee: Dark Roast,Auto Mill,1600,1,1,1 Dark Roast Coffee Beans,
Instant Coffee: Light Roast,Auto Mill,1600,1,1,1 Light Roast Coffee Beans,
Instant Coffee: Medium Roast,Auto Mill,1600,1,1,1 Medium Roast Coffee Beans,
Instant Coffee: Mocha,Auto Mill,1600,1,1,1 Mocha Coffee Beans,
Instant Coffee: Dark Chocolate Mocha,Auto Mill,1600,1,1,1 Dark Chocolate Mocha Beans,
Instant Coffee: Mint Mocha,Auto Mill,1600,1,1,1 Mint Mocha Beans,
Instant Coffee: White Chocolate Mocha,Auto Mill,1600,1,1,1 White Chocolate Mocha Beans,
Instant Coffee: Pumpkin Spice,Auto Mill,1600,1,1,1 Pumpkin Spice Coffee Beans,
Matcha Tea Powder,Auto Mill,1600,1,1,1 Sencha Tea Leaf,
Instant Coffee: Vanilla Café,Auto Mill,1600,1,1,1 Vanilla Café Beans,
Instant Coffee,Auto Mill,1600,1,1,5 Coffee Bean,
Instant Coffee,Auto Mill,800,1,1,1 Coffee Beans,
Kukicha Tea Mix,Auto Mill,1600,1,1,1 Tea Leaves,
Almond Flour,Auto Mill,3400,1,1,1 Crushed Almonds,
Saguaro Flour,Auto Mill,3400,1,1,1 Bahidaj Seeds,
Cocoa Flour,Auto Mill,3400,1,1,1 Black Cacao Nibs,
Sesame Flour,Auto Mill,3400,1,1,1 Crushed Sesame,
Walnut Flour,Auto Mill,3400,1,1,1 Crushed Black Walnuts,
Corn Flour,Auto Mill,3400,1,1,1 Blue Corn,
Cornmeal,Auto Mill,3400,1,0.2,1 Blue Corn,
Corn Starch,Auto Mill,3400,1,0.2,1 Blue Corn,
Brazil Nut Flour,Auto Mill,3400,1,1,1 Crushed Brazil Nuts,
Cashew Flour,Auto Mill,3400,1,1,1 Crushed Cashews,
Chestnut Flour,Auto Mill,3400,1,1,1 Crushed Chestnuts,
Coco de Mer Flour,Auto Mill,3400,1,1,1 Coco de Mer Flakes,
Coffee Flour,Auto Mill,3400,1,1,1 Instant Coffee,
Coffee Flour,Auto Mill,3400,1,1,1 Instant Coffee: Dark Roast,
Coffee Flour,Auto Mill,3400,1,1,1 Instant Coffee: Light Roast,
Coffee Flour,Auto Mill,3400,1,1,1 Instant Coffee: Medium Roast,
Cocoa Flour,Auto Mill,3400,1,1,1 Cacao Nibs,
Cornmeal,Auto Mill,3400,1,1,1 Glass Gem Corn,
Corn Starch,Auto Mill,3400,1,0.45,1 Glass Gem Corn,
Corn Flour,Auto Mill,3400,1,0.1,1 Glass Gem Corn,
Horn Nut Flour,Auto Mill,3400,1,1,1 Crushed Horn Nuts,
Macadamia Nut Flour,Auto Mill,3400,1,1,1 Crushed Macadamia Nuts,
Tapioca Starch,Auto Mill,3400,1,1,1 Manioc,
Almond Flour,Auto Mill,3400,1,1,1 Crushed Marcona Almonds,
Peanut Flour,Auto Mill,3400,1,1,1 Crushed Peanuts,
Pecan Flour,Auto Mill,3400,1,1,1 Crushed Pecans,
Pine Nut Flour,Auto Mill,3400,1,1,1 Crushed Pine Nuts,
Pistachio Flour,Auto Mill,3400,1,1,1 Crushed Pistachios,
Corn Flour,Auto Mill,3400,1,1,1 Red Corn,
Cornmeal,Auto Mill,3400,1,0.2,1 Red Corn,
Corn Starch,Auto Mill,3400,1,0.2,1 Red Corn,
Rye Flour,Auto Mill,3400,1,1,1 Rye,
Coeur de la Mer Flour,Auto Mill,3400,1,1,1 Crushed Sea Hearts,
Walnut Flour,Auto Mill,3400,1,1,1 Crushed Walnuts,
Cocoa Flour,Auto Mill,3400,1,1,1 White Cacao Nibs,
Barley Flour,Auto Mill,3400,1,1,1 Wild Barley,
Oat Flour,Auto Mill,3400,1,1,1 Wild Oats,
Acorn Flour,Auto Mill,3400,1,1,1 Crushed Acorns,
Amaranth Flour,Auto Mill,3400,1,1,1 Amaranth,
Coconut Flour,Auto Mill,3400,1,1,1 Coconut Flakes,
Corn Flour,Auto Mill,3400,1,1,1 Corn,
Cornmeal,Auto Mill,3400,1,0.3,1 Corn,
Corn Starch,Auto Mill,3400,1,0.3,1 Corn,
Cornmeal,Auto Mill,3400,2,1,1 Popcorn Kernels,
Corn Flour,Auto Mill,1600,1,1,1 Cornmeal,
Corn Flour,Auto Mill,1600,1,1,1 Corn Starch,
Hazelnut Flour,Auto Mill,3400,1,1,1 Crushed Hazelnuts,
Samara Flour,Auto Mill,3400,1,1,1 Shelled Samaras,
Rice Flour,Auto Mill,3400,1,1,1 Rice,
Sunflower Seed Flour,Auto Mill,3400,1,1,1 Shelled Sunflower Seeds,
Wheat Flour,Auto Mill,3400,1,1,1 Wheat,
Ground Allium,Auto Mill,1600,1,1,1 Allium,
Ground Allium,Auto Mill,800,1,1,1 Dried Allium,
Ground Allium,Auto Mill,800,1,1,1 Allium Petals,
Artemisia Powder,Auto Mill,1600,1,1,1 Artemisia,
Artemisia Powder,Auto Mill,800,1,1,1 Dried Artemisia,
